object,frame,x,y
gaze,0,1122,737.5
gaze,0,1354.5,757
gaze,0,1601.5,906.5
gaze,1,1621.5,970
gaze,1,1415.5,899.5
gaze,2,1337.5,901
gaze,2,968,1061.5
gaze,3,951.5,975
gaze,3,803,1088
gaze,4,592,825.5
gaze,5,676,775.5
gaze,5,437.5,366.5
gaze,6,581,339.5
gaze,6,516.5,217.5
gaze,7,687,280.5
gaze,7,781.5,486
gaze,8,581,396.5
gaze,8,694.5,616.5
gaze,9,422,449.5
gaze,9,486,512
gaze,10,493.5,458
gaze,11,435,538.5
gaze,11,455.5,515
gaze,12,243.5,557.5
gaze,12,304.5,695.5
gaze,13,0,343.5
gaze,13,44,427
gaze,14,232.5,325.5
gaze,14,456,435
gaze,15,482.5,612
gaze,15,824.5,789
gaze,16,473.5,707
gaze,17,622,827
gaze,17,632.5,834.5
gaze,18,772.5,865.5
gaze,18,924,1042.5
gaze,19,906.5,916
gaze,20,1111,874
gaze,20,842,936.5
gaze,21,709.5,507.5
gaze,21,814,712
gaze,22,747,589
gaze,22,988,558
gaze,23,813,757
gaze,23,840.5,738
gaze,24,422,702.5
gaze,24,388.5,624.5
gaze,25,310,531
gaze,25,207,386
gaze,26,207,386
gaze,26,498.5,512
gaze,36,680,543
gaze,38,675.5,546.5
gaze,38,979,658.5
gaze,39,389.5,357
gaze,39,313.5,468.5
gaze,40,221.5,381
gaze,40,0,415.5
gaze,41,345.5,331
gaze,41,426,606
gaze,42,799,591
gaze,43,816,1019
gaze,43,1333,1050
gaze,44,1243,1088
gaze,45,1380.5,862
gaze,45,1429,866
gaze,46,1086.5,604
gaze,46,885,827.5
gaze,47,892,776
gaze,47,758.5,1000.5
gaze,48,916.5,915
gaze,49,1046,1008.5
gaze,49,1112.5,829
gaze,50,1073.5,969.5
gaze,50,1102,799
gaze,51,1111.5,899.5
gaze,51,1038.5,800
gaze,52,1222.5,950
gaze,52,1224,1049.5
gaze,53,1036.5,997.5
gaze,53,1516,1088
gaze,54,1072,989.5
gaze,54,1517,1088
gaze,55,1046,905
gaze,56,1082.5,899.5
gaze,56,785.5,790
gaze,57,1025.5,934
gaze,57,919.5,979.5
gaze,58,815.5,986
gaze,58,718.5,1055.5
gaze,59,616,914.5
gaze,59,722,1041
gaze,60,764,915
gaze,60,861,1017.5
gaze,61,749.5,878.5
gaze,62,789.5,819
gaze,62,808,777.5
gaze,63,858.5,782
gaze,63,1016.5,589
gaze,64,1150,799
gaze,64,1308,606
gaze,65,1605,614.5
gaze,65,1611.5,620.5
gaze,66,1563.5,651.5
gaze,66,1481,600
gaze,67,1259,702
gaze,68,949.5,781
gaze,68,1164,750
gaze,69,809,850.5
gaze,69,1059,891
gaze,70,1189,1008
gaze,70,1047.5,954.5
gaze,71,1024.5,955
gaze,72,949.5,770
gaze,72,641,567.5
gaze,73,767,519
gaze,73,746,469
gaze,74,732.5,441
gaze,74,663,486.5
gaze,75,625.5,380.5
gaze,75,652,709
gaze,76,632.5,717
gaze,76,931.5,1088
gaze,77,684,834
gaze,77,1141,993
gaze,78,589,526
gaze,79,1285,782
gaze,79,825,659
gaze,80,1162,842.5
gaze,81,1127,988.5
gaze,81,1067.5,1088
gaze,82,1175.5,1088
gaze,82,1294.5,1088
gaze,83,1199.5,1088
gaze,83,1273,1088
gaze,84,1519,1088
gaze,84,1511,1084
gaze,85,1706.5,1088
gaze,86,1355.5,938.5
gaze,86,1203,1088
gaze,87,1120,854.5
gaze,87,939,848.5
gaze,88,1281.5,976.5
gaze,88,1100.5,970.5
gaze,89,1404,1088
gaze,89,1373.5,1088
gaze,90,1773.5,1088
gaze,90,1743,1088
gaze,91,1673,1088
gaze,92,1920,1088
gaze,92,1471.5,1088
gaze,93,1847,1032
gaze,93,1562,1088
gaze,94,1637,868
gaze,94,1688.5,901.5
gaze,95,1511.5,889
gaze,95,1447,880
gaze,96,1225.5,663
gaze,97,1047,655
gaze,98,1087,619.5
gaze,98,999,722.5
gaze,99,927.5,900
gaze,99,953.5,1002
gaze,100,1148.5,1088
gaze,101,1129,1029
gaze,101,1396.5,1070
gaze,102,1030,824
gaze,102,1055.5,677
gaze,103,1166,936.5
gaze,104,1174.5,821.5
gaze,104,1625.5,1088
gaze,105,1608.5,1088
gaze,105,1364,1088
gaze,106,1361,1088
gaze,106,1072,1088
gaze,107,1128.5,1073.5
gaze,107,1097.5,1088
gaze,108,1085.5,995
gaze,108,997,1014
gaze,109,1055.5,827
gaze,109,953.5,780.5
gaze,110,921.5,762.5
gaze,110,952.5,659.5
gaze,111,833.5,852
gaze,111,1088,966
gaze,112,807.5,1006
gaze,112,1050.5,1088
gaze,113,1109.5,1088
gaze,113,1148.5,1088
gaze,114,1521,1088
gaze,114,1547,1088
gaze,115,1537.5,1088
gaze,116,1541.5,1088
gaze,116,1513.5,1088
gaze,117,1439.5,1055.5
gaze,117,1184,1037
gaze,118,1202,886.5
gaze,118,805,803
gaze,119,899,766
gaze,120,689,724
gaze,120,846.5,563.5
gaze,121,760.5,631
gaze,121,947.5,694.5
gaze,122,937.5,612
gaze,122,933,663
gaze,123,1088,718.5
gaze,123,971,585
gaze,124,984,676
gaze,124,1005,634
gaze,125,897.5,452
gaze,125,938.5,461.5
gaze,126,1021.5,349
gaze,126,829,257
gaze,127,784,281
gaze,127,779,362.5
gaze,128,607.5,301.5
gaze,129,743.5,404.5
gaze,130,757.5,344
gaze,130,805,427.5
gaze,131,796,408
gaze,131,734.5,488
gaze,132,871,541.5
gaze,132,645.5,377.5
gaze,133,1101,548.5
gaze,133,792.5,390
gaze,134,851.5,217
gaze,135,872,438.5
gaze,136,640,233.5
gaze,137,704,428
gaze,137,898.5,596.5
gaze,138,853,601.5
gaze,138,926.5,634
gaze,139,947.5,708
gaze,139,825.5,613
gaze,140,970.5,763
gaze,141,990,736
gaze,141,1138,648.5
gaze,142,1044.5,648.5
gaze,142,956,462
gaze,143,879,492
gaze,144,856,506
gaze,144,998.5,518
gaze,145,1034.5,522.5
gaze,145,965,542
gaze,146,1129.5,537
gaze,146,855,534.5
gaze,147,938.5,489
gaze,147,908,461
gaze,148,778.5,400.5
gaze,148,860,442.5
gaze,149,786,337
gaze,150,886,398
gaze,150,987,422.5
gaze,151,981,414.5
gaze,151,1051.5,425.5
gaze,152,894,461.5
gaze,152,894.5,354
gaze,153,780,446.5
gaze,153,784,373.5
gaze,154,878,462.5
gaze,154,807.5,318.5
gaze,155,895,471
gaze,156,841,387
gaze,156,783.5,424
gaze,157,927.5,547
gaze,157,880.5,528.5
gaze,158,953,655
gaze,158,1175,786
gaze,159,986.5,624.5
gaze,159,1127.5,646.5
gaze,160,1044.5,397
gaze,160,954,343.5
gaze,161,853,256
gaze,162,909.5,344.5
gaze,163,820.5,267.5
gaze,164,725.5,318.5
gaze,164,850,383.5
gaze,165,881,634
gaze,165,754.5,597
gaze,166,835.5,793
gaze,166,630.5,617
gaze,167,545.5,416
gaze,167,493,461
gaze,168,763.5,506
gaze,169,605,386
gaze,169,796,563.5
gaze,170,794,385.5
gaze,170,729.5,383
gaze,171,1099.5,444.5
gaze,172,902,376.5
gaze,172,895,439.5
gaze,173,845.5,311
gaze,173,464,316.5
gaze,174,742,354.5
gaze,174,790,555
gaze,175,782.5,545.5
gaze,175,939,729
gaze,176,949,864
gaze,177,752.5,694.5
gaze,177,901.5,963.5
gaze,178,775,718
gaze,178,940.5,735
gaze,179,851.5,610.5
gaze,179,1017,627.5
gaze,180,858,579
gaze,181,602,507
gaze,181,839.5,616.5
gaze,182,646,455
gaze,182,945,577
gaze,183,797.5,384.5
gaze,183,859,397
gaze,184,645,321
gaze,185,661.5,378
gaze,185,657.5,405
gaze,186,633,387
gaze,186,633,387
gaze,187,656,353
gaze,187,719.5,302
gaze,188,862.5,511
gaze,188,885,546.5
gaze,189,776.5,678
gaze,189,920,960.5
gaze,190,900,949
gaze,190,874,1042
gaze,191,978,984
gaze,192,619,659
gaze,192,555.5,576
gaze,193,730,333.5
gaze,193,866,426.5
gaze,194,1153.5,354.5
gaze,194,1318.5,383
gaze,195,1211.5,479.5
gaze,196,1062,335
gaze,196,967,519.5
gaze,197,821.5,369.5
gaze,197,946,568.5
gaze,198,748.5,413
gaze,198,939.5,715
gaze,199,713.5,431.5
gaze,199,748,603
gaze,200,863.5,597.5
gaze,200,895.5,505.5
gaze,201,895,623
gaze,201,967,480.5
gaze,202,708,473
gaze,203,799,466
gaze,203,663,471.5
gaze,204,812,546.5
gaze,204,812.5,507.5
gaze,205,864.5,503.5
gaze,205,931,526.5
gaze,206,816,377
gaze,206,828.5,378.5
gaze,207,664,349
gaze,207,599,350.5
gaze,208,529.5,448.5
gaze,209,626,497
gaze,209,622.5,473
gaze,210,657,412
gaze,210,607,272
gaze,211,480,271
gaze,211,451,200.5
gaze,212,465.5,257
gaze,212,562,416.5
gaze,213,688.5,294.5
gaze,213,776,463.5
gaze,214,796,384
gaze,214,787,393.5
gaze,215,643.5,395.5
gaze,215,643.5,395.5
gaze,216,641.5,495.5
gaze,216,787,528.5
gaze,217,639.5,543.5
gaze,217,856.5,556
gaze,218,517.5,576.5
